+6391***11875,"JUAN C., Winning Plus Weekend Fun! Tomorrow, claim your 153% WEEKLY DEPOSIT BONUS. New users receive a free 1000 bonus! Join wpsports2.com",,,,,,,,
+6398***67033,"Traveler, journey has yet to end. Log in to receive a total of Primogems *1,600 & Intertwined Fate *10! Go to Fontaine: https://hoyo.link/561eFDAL",,,,,,,,
+6398***94998,Genshin Impact V4.0: Fontaine has arrived! Log in now to get Primogems * 600. Play now at: https://hoyo.link/efbXDCAd,,,,,,,,
+6398***97737,"JUAN C., Join SBET for success! Claim 100% Welcome Bonus + P888 + a Jackpot chance at sbetphrich.com ",,,,,,,,
+6398***60179,JUAN C. GCash load problems? Sugarplay to the rescue! Enjoy a happy weekend with Splayjoy.com Free 777 & 105% Deposit Bonus.,,,,,,,,
+6391***38398,[ Philwin x Epicwin ]: Play Jili game with Welcome bonus FREE EXTRA 1000P! Livechat for more Super Ace game tips & tricks today~ Try Now: epicwplay3.com,,,,,,,,
+6396***44363,"JUAN C. Sa GoJackpot, wakasan ang GCash load issue! Mag-claim ng Libreng 777 & 105% Deposit Bonus. mag jpcjili1.com ngayong weekend.",,,,,,,,
+6395***97253,"JUAN C., GoJackpot: Your ticket to triumph! Get a 100% Welcome Bonus + 3% Deposit Bonus. Play for big wins with the winners at betfilph1.com",,,,,,,,
+6395***96507,"JUAN C., GoJackpot: Join and win with 100% welcome bonus, free PHP777 + 3% Gcash bonus, and . 6% daily rebate at bfpoker3.com",,,,,,,,
+6391***40237,"GCASH: Your GCash needs confirmation. 
Visit: come.to/GSave",,,,,,,,
+6398***01436,"JUAN C., Triple your fun at Sugarplay! claim 2,000 Welcome Bonus + 3% extra deposit bonus. Visit now! sgbetfree2.com",,,,,,,,
+6398***01436,"PNB Advisory:
Your mobile number is currently suspended, if your number still active, verify here: mypnbbanking.com to continue receiving OTP.",,,,,,,,
+6398***27708,BANCO DE ORO: We need your cooperation to verify your Online Banking. Please proceed here come.to/BDOVerifyLogin,,,,,,,,
+6390***00742,"JUAN C., Sugod na at Mag-log in sa GoJackpot, maglaro ng slots, at kunin ang 100% welcome bonus hanggang 777 + 3% Gcash daily deposit bonus! gojvipo.com",,,,,,,,
+6398***36990,"Sulit na saya sa U BE T! May PHP2,000 welcome Bonus + 3% GCash deposit Bonus. Magparehistro at magwagi. u7betph1.com",,,,,,,,
+6398***32974,"JUAN C., Maglaro sa SugarPlay, may 100% 2,000 libreng bonus + 3% Gcash Bonus. I-click na ang laro at manalo. sbfreeslots.com",,,,,,,,
+6392***78543,"JUAN C., Exciting news! Secure your free bonus of 100 to 2000 at SugarPlay. Join now for a glimpse of our exclusive promotions. Visit now sgbetgo3.com",,,,,,,,
+6391***23902,"JUAN C., Upgrade, win, and climb with GoJackpot! P190K Top Earned Bonus and step-up rewards make your journey epic. Visit gojvip4.com",,,,,,,,
+6398***28782,"Maximize fun at SugarPlay JUAN C., Up to Php 58,888 daily rebate! Grab 100% welcome bonus too. Click and win today. sgbetbonu2.com",,,,,,,,
+6397***23878,Makakatanggap ka ng 5000 cash! Pumunta lang sa website na ito: bit.ly/hostingfor5k at e click ang google ads na inyong makikita sa kahit anong page ng site.,,,,,,,,
+6398***32007,"ang iyong account na may mily- ong gantimpla ay malapit nang mag-expire, halika at kunin ito Google play or APP store search for mybitglobal to download apps",,,,,,,,
